Country,Code,Federation
Rwanda,RWA,Rwanda Football Federation
Saint Kitts and Nevis,SKN,St. Kitts and Nevis Football Association
Saint Lucia,LCA,Saint Lucia Football Association
Saint Vincent and the Grenadines,VIN,Saint Vincent and the Grenadines Football Federation
Samoa,SAM,Football Federation Samoa
San Marino,SMR,San Marino Football Federation
Saudi Arabia,KSA,Saudi Arabian Football Federation
Scotland,SCO,Scottish Football Association
Senegal,SEN,Senegalese Football Federation
Serbia,SRB,Football Association of Serbia
Seychelles,SEY,Seychelles Football Federation
Sierra Leone,SLE,Sierra Leone Football Association
Singapore,SGP,Football Association of Singapore
Slovakia,SVK,Slovak Football Association
Slovenia,SVN,Football Association of Slovenia
Solomon Islands,SOL,Solomon Islands Football Federation
Somalia,SOM,Somali Football Federation
South Africa,RSA,South African Football Association
South Korea,KOR,Korea Football Association
South Sudan,SSD,South Sudan Football Association
Spain,ESP,Royal Spanish Football Federation
Sri Lanka,SRI,Football Federation of Sri Lanka
Sudan,SDN,Sudan Football Association
Suriname,SUR,Surinamese Football Association
Sweden,SWE,Swedish Football Association
Switzerland,SUI,Swiss Football Association
Syria,SYR,Syrian Arab Federation for Football
São Tomé and Príncipe,STP,São Toméan Football Federation
Tahiti,TAH,Tahitian Football Federation
Tajikistan,TJK,Tajikistan Football Federation
Tanzania,TAN,Tanzania Football Federation
Thailand,THA,Football Association of Thailand
Timor-Leste,TLS,East Timor Football Federation
Togo,TOG,Togolese Football Federation
Tonga,TGA,Tonga Football Association
Trinidad and Tobago,TRI,Trinidad and Tobago Football Association
Tunisia,TUN,Tunisian Football Federation
Turkey,TUR,Turkish Football Federation
Turkmenistan,TKM,Football Federation of Turkmenistan
Turks and Caicos Islands,TCA,Turks and Caicos Islands Football Association
U.S. Virgin Islands,VIR,U.S. Virgin Islands Soccer Federation
Uganda,UGA,Federation of Uganda Football Associations
Ukraine,UKR,Ukrainian Association of Football
United Arab Emirates,UAE,United Arab Emirates Football Association
United States,USA,United States Soccer Federation
Uruguay,URU,Uruguayan Football Association
Uzbekistan,UZB,Uzbekistan Football Association
Vanuatu,VAN,Vanuatu Football Federation
Venezuela,VEN,Venezuelan Football Federation
Vietnam,VIE,Vietnam Football Federation
Wales,WAL,Football Association of Wales
Yemen,YEM,Yemen Football Association
Zambia,ZAM,Football Association of Zambia
Zimbabwe,ZIM,Zimbabwe Football Association
